bus ID,Current Stop,Next Stop,Latitude,Longitude,Passengers,Estimated Time,Date,Time
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,5,0:04:47,2025-01-06,07:40
Route 1,Sanayi,City Center,35.02,33.02,18,0:06:58,2025-01-15,09:40
Route 1,City Center,University,35.03,33.03,20,1:04:46,2025-01-04,11:40
Route 1,University,City Center,35.04,33.04,29,0:49:55,2025-01-22,13:40
Route 1,City Center,Sanayi,35.03,33.03,5,0:17:15,2025-01-26,15:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,5,0:48:44,2025-01-15,17:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,10,0:02:22,2025-01-02,19:40
Route 1,Sanayi,City Center,35.02,33.02,9,1:02:01,2025-01-19,07:40
Route 1,City Center,University,35.03,33.03,9,1:02:33,2025-01-24,09:40
Route 1,University,City Center,35.04,33.04,7,0:42:10,2025-01-04,11:40
Route 1,City Center,Sanayi,35.03,33.03,24,0:53:25,2025-01-20,13:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,23,0:34:15,2025-01-28,15:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,21,0:27:44,2025-01-15,17:40
Route 1,Sanayi,City Center,35.02,33.02,12,0:04:46,2025-01-08,19:40
Route 1,City Center,University,35.03,33.03,6,0:06:36,2025-01-25,07:40
Route 1,University,City Center,35.04,33.04,13,0:45:01,2025-01-10,09:40
Route 1,City Center,Sanayi,35.03,33.03,8,0:11:25,2025-01-07,11:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,16,0:37:56,2025-01-21,13:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,5,1:15:13,2025-01-09,15:40
Route 1,Sanayi,City Center,35.02,33.02,13,0:50:57,2025-01-02,17:40
Route 1,City Center,University,35.03,33.03,24,1:02:13,2025-01-08,19:40
Route 1,University,City Center,35.04,33.04,22,1:09:01,2025-01-18,07:40
Route 1,City Center,Sanayi,35.03,33.03,25,0:59:19,2025-01-29,09:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,26,1:29:18,2025-01-03,11:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,23,0:13:12,2025-01-07,13:40
Route 1,Sanayi,City Center,35.02,33.02,16,0:13:01,2025-01-19,15:40
Route 1,City Center,University,35.03,33.03,5,0:33:49,2025-01-01,17:40
Route 1,University,City Center,35.04,33.04,5,0:57:40,2025-01-16,19:40
Route 1,City Center,Sanayi,35.03,33.03,22,0:43:43,2025-01-03,07:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,19,1:14:28,2025-01-04,09:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,9,0:56:21,2025-01-17,11:40
Route 1,Sanayi,City Center,35.02,33.02,19,0:24:32,2025-01-11,13:40
Route 1,City Center,University,35.03,33.03,16,1:23:43,2025-01-28,15:40
Route 1,University,City Center,35.04,33.04,27,0:29:32,2025-01-27,17:40
Route 1,City Center,Sanayi,35.03,33.03,12,0:06:24,2025-01-20,19:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,29,1:21:58,2025-01-16,07:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,29,0:41:20,2025-01-16,09:40
Route 1,Sanayi,City Center,35.02,33.02,26,1:07:20,2025-01-13,11:40
Route 1,City Center,University,35.03,33.03,25,1:10:43,2025-01-28,13:40
Route 1,University,City Center,35.04,33.04,27,0:12:34,2025-01-05,15:40
Route 1,City Center,Sanayi,35.03,33.03,11,0:46:25,2025-01-21,17:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,19,1:30:47,2025-01-15,19:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,26,0:55:33,2025-01-17,07:40
Route 1,Sanayi,City Center,35.02,33.02,20,0:58:25,2025-01-03,09:40
Route 1,City Center,University,35.03,33.03,27,0:33:16,2025-01-26,11:40
Route 1,University,City Center,35.04,33.04,8,1:07:28,2025-01-14,13:40
Route 1,City Center,Sanayi,35.03,33.03,10,0:08:03,2025-01-24,15:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,6,1:29:49,2025-01-19,17:40
