bus ID,Current Stop,Next Stop,Latitude,Longitude,Passengers,Estimated Time,Date,Time
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,5,1:30:00,2025-01-06,07:40
Route 1,Sanayi,City Center,35.02,33.02,18,1:30:00,2025-01-15,09:40
Route 1,City Center,University,35.03,33.03,20,1:30:00,2025-01-04,11:40
Route 1,University,City Center,35.04,33.04,29,1:30:00,2025-01-22,13:40
Route 1,City Center,Sanayi,35.03,33.03,5,1:30:00,2025-01-26,15:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,5,1:30:00,2025-01-15,17:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,10,1:30:00,2025-01-02,19:40
Route 1,Sanayi,City Center,35.02,33.02,9,1:30:00,2025-01-19,07:40
Route 1,City Center,University,35.03,33.03,9,1:30:00,2025-01-24,09:40
Route 1,University,City Center,35.04,33.04,7,1:30:00,2025-01-04,11:40
Route 1,City Center,Sanayi,35.03,33.03,24,1:30:00,2025-01-20,13:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,23,1:30:00,2025-01-28,15:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,21,1:30:00,2025-01-15,17:40
Route 1,Sanayi,City Center,35.02,33.02,12,1:30:00,2025-01-08,19:40
Route 1,City Center,University,35.03,33.03,6,1:30:00,2025-01-25,07:40
Route 1,University,City Center,35.04,33.04,13,1:30:00,2025-01-10,09:40
Route 1,City Center,Sanayi,35.03,33.03,8,1:30:00,2025-01-07,11:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,16,1:30:00,2025-01-21,13:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,5,1:30:00,2025-01-09,15:40
Route 1,Sanayi,City Center,35.02,33.02,13,1:30:00,2025-01-02,17:40
Route 1,City Center,University,35.03,33.03,24,1:30:00,2025-01-08,19:40
Route 1,University,City Center,35.04,33.04,22,1:30:00,2025-01-18,07:40
Route 1,City Center,Sanayi,35.03,33.03,25,1:30:00,2025-01-29,09:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,26,1:30:00,2025-01-03,11:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,23,1:30:00,2025-01-07,13:40
Route 1,Sanayi,City Center,35.02,33.02,16,1:30:00,2025-01-19,15:40
Route 1,City Center,University,35.03,33.03,5,1:30:00,2025-01-01,17:40
Route 1,University,City Center,35.04,33.04,5,1:30:00,2025-01-16,19:40
Route 1,City Center,Sanayi,35.03,33.03,22,1:30:00,2025-01-03,07:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,19,1:30:00,2025-01-04,09:40
