bus ID,Current Stop,Next Stop,Latitude,Longitude,Passengers,Estimated Time,Date,Time
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,5,07:45,2025-01-06,07:40
Route 1,Sanayi,City Center,35.02,33.02,18,09:45,2025-01-15,09:40
Route 1,City Center,University,35.03,33.03,20,11:45,2025-01-04,11:40
Route 1,University,City Center,35.04,33.04,29,13:45,2025-01-22,13:40
Route 1,City Center,Sanayi,35.03,33.03,5,15:45,2025-01-26,15:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,5,17:45,2025-01-15,17:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,10,19:45,2025-01-02,19:40
Route 1,Sanayi,City Center,35.02,33.02,9,07:45,2025-01-19,07:40
Route 1,City Center,University,35.03,33.03,9,09:45,2025-01-24,09:40
Route 1,University,City Center,35.04,33.04,7,11:45,2025-01-04,11:40
Route 1,City Center,Sanayi,35.03,33.03,24,13:45,2025-01-20,13:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,23,15:45,2025-01-28,15:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,21,17:45,2025-01-15,17:40
Route 1,Sanayi,City Center,35.02,33.02,12,19:45,2025-01-08,19:40
Route 1,City Center,University,35.03,33.03,6,07:45,2025-01-25,07:40
Route 1,University,City Center,35.04,33.04,13,09:45,2025-01-10,09:40
Route 1,City Center,Sanayi,35.03,33.03,8,11:45,2025-01-07,11:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,16,13:45,2025-01-21,13:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,5,15:45,2025-01-09,15:40
Route 1,Sanayi,City Center,35.02,33.02,13,17:45,2025-01-02,17:40
Route 1,City Center,University,35.03,33.03,24,19:45,2025-01-08,19:40
Route 1,University,City Center,35.04,33.04,22,07:45,2025-01-18,07:40
Route 1,City Center,Sanayi,35.03,33.03,25,09:45,2025-01-29,09:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,26,11:45,2025-01-03,11:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,23,13:45,2025-01-07,13:40
Route 1,Sanayi,City Center,35.02,33.02,16,15:45,2025-01-19,15:40
Route 1,City Center,University,35.03,33.03,5,17:45,2025-01-01,17:40
Route 1,University,City Center,35.04,33.04,5,19:45,2025-01-16,19:40
Route 1,City Center,Sanayi,35.03,33.03,22,07:45,2025-01-03,07:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,19,09:45,2025-01-04,09:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,9,11:45,2025-01-17,11:40
Route 1,Sanayi,City Center,35.02,33.02,19,13:45,2025-01-11,13:40
Route 1,City Center,University,35.03,33.03,16,15:45,2025-01-28,15:40
Route 1,University,City Center,35.04,33.04,27,17:45,2025-01-27,17:40
Route 1,City Center,Sanayi,35.03,33.03,12,19:45,2025-01-20,19:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,29,07:45,2025-01-16,07:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,29,09:45,2025-01-16,09:40
Route 1,Sanayi,City Center,35.02,33.02,26,11:45,2025-01-13,11:40
Route 1,City Center,University,35.03,33.03,25,13:45,2025-01-28,13:40
Route 1,University,City Center,35.04,33.04,27,15:45,2025-01-05,15:40
Route 1,City Center,Sanayi,35.03,33.03,11,17:45,2025-01-21,17:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,19,19:45,2025-01-15,19:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,26,07:45,2025-01-17,07:40
Route 1,Sanayi,City Center,35.02,33.02,20,09:45,2025-01-03,09:40
Route 1,City Center,University,35.03,33.03,27,11:45,2025-01-26,11:40
Route 1,University,City Center,35.04,33.04,8,13:45,2025-01-14,13:40
Route 1,City Center,Sanayi,35.03,33.03,10,15:45,2025-01-24,15:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,6,17:45,2025-01-19,17:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,5,19:45,2025-01-03,19:40
Route 1,Sanayi,City Center,35.02,33.02,24,07:45,2025-01-01,07:40
Route 1,City Center,University,35.03,33.03,26,09:45,2025-01-18,09:40
Route 1,University,City Center,35.04,33.04,10,11:45,2025-01-04,11:40
Route 1,City Center,Sanayi,35.03,33.03,7,13:45,2025-01-04,13:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,24,15:45,2025-01-10,15:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,20,17:45,2025-01-03,17:40
Route 1,Sanayi,City Center,35.02,33.02,21,19:45,2025-01-15,19:40
Route 1,City Center,University,35.03,33.03,23,07:45,2025-01-01,07:40
Route 1,University,City Center,35.04,33.04,18,09:45,2025-01-13,09:40
Route 1,City Center,Sanayi,35.03,33.03,8,11:45,2025-01-23,11:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,8,13:45,2025-01-13,13:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,10,15:45,2025-01-19,15:40
Route 1,Sanayi,City Center,35.02,33.02,9,17:45,2025-01-21,17:40
Route 1,City Center,University,35.03,33.03,26,19:45,2025-01-28,19:40
Route 1,University,City Center,35.04,33.04,7,07:45,2025-01-05,07:40
Route 1,City Center,Sanayi,35.03,33.03,23,09:45,2025-01-06,09:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,13,11:45,2025-01-27,11:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,18,13:45,2025-01-12,13:40
Route 1,Sanayi,City Center,35.02,33.02,13,15:45,2025-01-23,15:40
Route 1,City Center,University,35.03,33.03,15,17:45,2025-01-08,17:40
Route 1,University,City Center,35.04,33.04,13,19:45,2025-01-21,19:40
Route 1,City Center,Sanayi,35.03,33.03,20,07:45,2025-01-19,07:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,24,09:45,2025-01-17,09:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,11,11:45,2025-01-14,11:40
Route 1,Sanayi,City Center,35.02,33.02,17,13:45,2025-01-21,13:40
Route 1,City Center,University,35.03,33.03,6,15:45,2025-01-25,15:40
Route 1,University,City Center,35.04,33.04,13,17:45,2025-01-18,17:40
Route 1,City Center,Sanayi,35.03,33.03,22,19:45,2025-01-06,19:40
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,22,07:45,2025-01-02,07:40
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,15,09:45,2025-01-18,09:40
Route 1,Sanayi,City Center,35.02,33.02,13,11:45,2025-01-14,11:40
Route 1,City Center,University,35.03,33.03,9,13:45,2025-01-17,13:40
Route 1,University,City Center,35.04,33.04,13,15:45,2025-01-13,15:40
Route 1,City Center,Sanayi,35.03,33.03,5,17:45,2025-01-07,17:40
