bus ID,Current Stop,Next Stop,Latitude,Longitude,Passengers,Estimated Time,Date,Time
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,20,0:01:00,2024-12-01,06:00 AM
Route 3,activity center,library,35.01,33.01,20,0:01:00,2024-12-01,06:00 AM
Route 4,Anıt,Dumlupınar,35.01,33.01,20,0:01:00,2024-12-01,06:00 AM
Route 5,Intercity Bus Station,Sanayi,35.01,33.01,20,0:01:00,2024-12-01,06:00 AM
Route 2,registration,Mahkeme,35.01,33.01,20,0:01:00,2024-12-01,06:00 AM
Route 5,Sanayi,Gazi,35.02,33.02,25,0:02:00,2024-12-01,06:06 AM
Route 3,library,uni bus station,35.02,33.02,25,0:02:00,2024-12-01,06:07 AM
Route 1,Sanayi,City Center,35.02,33.02,25,0:02:00,2024-12-01,06:10 AM
Route 2,Mahkeme,Harika Mahallesi,35.02,33.02,25,0:02:00,2024-12-01,06:10 AM
Route 4,Dumlupınar,Gazimağusa Vergi Dairesi,35.02,33.02,25,0:02:00,2024-12-01,06:11 AM
Route 5,Gazi,Baykal,35.03,33.03,30,0:03:00,2024-12-01,06:12 AM
Route 3,uni bus station,main gate,35.03,33.03,30,0:03:00,2024-12-01,06:14 AM
Route 5,Baykal,kaliland,35.04,33.04,35,0:04:00,2024-12-01,06:18 AM
Route 1,City Center,University,35.03,33.03,30,0:03:00,2024-12-01,06:20 AM
Route 2,Harika Mahallesi,Kurtalan,35.03,33.03,30,0:03:00,2024-12-01,06:20 AM
Route 3,main gate,uni bus station,35.04,33.04,35,0:04:00,2024-12-01,06:21 AM
Route 4,Gazimağusa Vergi Dairesi,Harbour,35.03,33.03,30,0:03:00,2024-12-01,06:22 AM
Route 3,uni bus station,library,35.03,33.03,30,0:03:00,2024-12-01,06:24 AM
Route 5,kaliland,Baykal,35.05,33.05,40,0:05:00,2024-12-01,06:24 AM
Route 5,Baykal,Gazi,35.04,33.04,35,0:04:00,2024-12-01,06:26 AM
Route 3,library,activity center,35.02,33.02,25,0:02:00,2024-12-01,06:27 AM
Route 5,Gazi,Sanayi,35.03,33.03,30,0:03:00,2024-12-01,06:28 AM
Route 2,Kurtalan,Tarlabaşı,35.04,33.04,35,0:04:00,2024-12-01,06:30 AM
Route 5,Sanayi,Intercity Bus Station,35.02,33.02,25,0:02:00,2024-12-01,06:30 AM
Route 1,University,City Center,35.04,33.04,35,0:04:00,2024-12-01,06:30 AM
Route 4,Harbour,Gazimağusa Vergi Dairesi,35.04,33.04,35,0:04:00,2024-12-01,06:33 AM
Route 1,City Center,Sanayi,35.03,33.03,30,0:03:00,2024-12-01,06:35 AM
Route 4,Gazimağusa Vergi Dairesi,Dumlupınar,35.03,33.03,30,0:03:00,2024-12-01,06:38 AM
Route 5,Intercity Bus Station,Sanayi,35.01,33.01,20,0:01:00,2024-12-01,06:40 AM
Route 2,Tarlabaşı,Kurtalan,35.05,33.05,40,0:05:00,2024-12-01,06:40 AM
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,25,0:02:00,2024-12-01,06:40 AM
Route 4,Dumlupınar,Anıt,35.02,33.02,25,0:02:00,2024-12-01,06:43 AM
Route 3,activity center,library,35.01,33.01,20,0:01:00,2024-12-01,06:45 AM
Route 2,Kurtalan,Harika Mahallesi,35.04,33.04,35,0:04:00,2024-12-01,06:45 AM
Route 5,Sanayi,Gazi,35.02,33.02,25,0:02:00,2024-12-01,06:46 AM
Route 2,Harika Mahallesi,Mahkeme,35.03,33.03,30,0:03:00,2024-12-01,06:50 AM
Route 3,library,uni bus station,35.02,33.02,25,0:02:00,2024-12-01,06:52 AM
Route 5,Gazi,Baykal,35.03,33.03,30,0:03:00,2024-12-01,06:52 AM
Route 2,Mahkeme,registration,35.02,33.02,25,0:02:00,2024-12-01,06:55 AM
Route 5,Baykal,kaliland,35.04,33.04,35,0:04:00,2024-12-01,06:58 AM
Route 3,uni bus station,main gate,35.03,33.03,30,0:03:00,2024-12-01,06:59 AM
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,20,0:01:00,2024-12-01,07:00 AM
Route 5,kaliland,Baykal,35.05,33.05,40,0:05:00,2024-12-01,07:04 AM
Route 4,Anıt,Dumlupınar,35.01,33.01,20,0:01:00,2024-12-01,07:05 AM
Route 5,Baykal,Gazi,35.04,33.04,35,0:04:00,2024-12-01,07:06 AM
Route 3,main gate,uni bus station,35.04,33.04,35,0:04:00,2024-12-01,07:06 AM
Route 5,Gazi,Sanayi,35.03,33.03,30,0:03:00,2024-12-01,07:08 AM
Route 3,uni bus station,library,35.03,33.03,30,0:03:00,2024-12-01,07:09 AM
Route 1,Sanayi,City Center,35.02,33.02,25,0:02:00,2024-12-01,07:10 AM
Route 5,Sanayi,Intercity Bus Station,35.02,33.02,25,0:02:00,2024-12-01,07:10 AM
Route 3,library,activity center,35.02,33.02,25,0:02:00,2024-12-01,07:12 AM
Route 2,registration,Mahkeme,35.01,33.01,20,0:01:00,2024-12-01,07:15 AM
Route 4,Dumlupınar,Gazimağusa Vergi Dairesi,35.02,33.02,25,0:02:00,2024-12-01,07:16 AM
Route 5,Intercity Bus Station,Sanayi,35.01,33.01,20,0:01:00,2024-12-01,07:20 AM
Route 1,City Center,University,35.03,33.03,30,0:03:00,2024-12-01,07:20 AM
Route 2,Mahkeme,Harika Mahallesi,35.02,33.02,25,0:02:00,2024-12-01,07:25 AM
Route 5,Sanayi,Gazi,35.02,33.02,25,0:02:00,2024-12-01,07:26 AM
Route 4,Gazimağusa Vergi Dairesi,Harbour,35.03,33.03,30,0:03:00,2024-12-01,07:27 AM
Route 3,activity center,library,35.01,33.01,20,0:01:00,2024-12-01,07:30 AM
Route 1,University,City Center,35.04,33.04,35,0:04:00,2024-12-01,07:30 AM
Route 5,Gazi,Baykal,35.03,33.03,30,0:03:00,2024-12-01,07:32 AM
Route 1,City Center,Sanayi,35.03,33.03,30,0:03:00,2024-12-01,07:35 AM
Route 2,Harika Mahallesi,Kurtalan,35.03,33.03,30,0:03:00,2024-12-01,07:35 AM
Route 3,library,uni bus station,35.02,33.02,25,0:02:00,2024-12-01,07:37 AM
Route 4,Harbour,Gazimağusa Vergi Dairesi,35.04,33.04,35,0:04:00,2024-12-01,07:38 AM
Route 5,Baykal,kaliland,35.04,33.04,35,0:04:00,2024-12-01,07:38 AM
Route 1,Sanayi,Intercity Bus Station,35.02,33.02,25,0:02:00,2024-12-01,07:40 AM
Route 4,Gazimağusa Vergi Dairesi,Dumlupınar,35.03,33.03,30,0:03:00,2024-12-01,07:43 AM
Route 5,kaliland,Baykal,35.05,33.05,40,0:05:00,2024-12-01,07:44 AM
Route 3,uni bus station,main gate,35.03,33.03,30,0:03:00,2024-12-01,07:44 AM
Route 2,Kurtalan,Tarlabaşı,35.04,33.04,35,0:04:00,2024-12-01,07:45 AM
Route 5,Baykal,Gazi,35.04,33.04,35,0:04:00,2024-12-01,07:46 AM
Route 5,Gazi,Sanayi,35.03,33.03,30,0:03:00,2024-12-01,07:48 AM
Route 4,Dumlupınar,Anıt,35.02,33.02,25,0:02:00,2024-12-01,07:48 AM
Route 5,Sanayi,Intercity Bus Station,35.02,33.02,25,0:02:00,2024-12-01,07:50 AM
Route 3,main gate,uni bus station,35.04,33.04,35,0:04:00,2024-12-01,07:51 AM
Route 3,uni bus station,library,35.03,33.03,30,0:03:00,2024-12-01,07:54 AM
Route 2,Tarlabaşı,Kurtalan,35.05,33.05,40,0:05:00,2024-12-01,07:55 AM
Route 3,library,activity center,35.02,33.02,25,0:02:00,2024-12-01,07:57 AM
Route 2,Kurtalan,Harika Mahallesi,35.04,33.04,35,0:04:00,2024-12-01,08:00 AM
Route 1,Intercity Bus Station,Sanayi,35.01,33.01,20,0:01:00,2024-12-01,08:00 AM
